adjectifs,ensembles des traits morpho,catégorie
accoucheur,"[('accoucheur', 'ms'), ('accoucheurs', 'mp'), ('accoucheuse', 'fs'), ('accoucheuses', 'fp')]",invariable
accoudé,"[('accoudé', 'ms'), ('accoudée', 'fs'), ('accoudées', 'fp'), ('accoudés', 'mp')]",variations en genre et en nombre silencieuses
accouplé,"[('accouplé', 'ms'), ('accouplée', 'fs'), ('accouplées', 'fp'), ('accouplés', 'mp')]",variations en genre et en nombre silencieuses
accourci,"[('accourci', 'ms'), ('accourcie', 'fs'), ('accourcies', 'fp'), ('accourcis', 'mp')]",variations en genre et en nombre silencieuses
accoutumé,"[('accoutumé', 'ms'), ('accoutumée', 'fs'), ('accoutumées', 'fp'), ('accoutumés', 'mp')]",variations en genre et en nombre silencieuses
accrescent,"[('accrescent', 'ms'), ('accrescente', 'fs'), ('accrescentes', 'fp'), ('accrescents', 'mp')]",variations en genre audible et en nombre silencieuses
accro,"[('accro', 's'), ('accros', 'p')]",variations en genre et en nombre silencieuses
accrocheur,"[('accrocheur', 'ms'), ('accrocheurs', 'mp'), ('accrocheuse', 'fs'), ('accrocheuses', 'fp')]",invariable
accru,"[('accru', 'ms'), ('accrue', 'fs'), ('accrues', 'fp'), ('accrus', 'mp')]",variations en genre et en nombre silencieuses
accréditant,"[('accréditant', 'ms'), ('accréditante', 'fs'), ('accréditantes', 'fp'), ('accréditants', 'mp')]",variations en genre audible et en nombre silencieuses
accréditif,"[('accréditif', 'ms'), ('accréditifs', 'mp'), ('accréditive', 'fs'), ('accréditives', 'fp')]",variations en genre audible et en nombre silencieuses
accrédité,"[('accrédité', 'ms'), ('accréditée', 'fs'), ('accréditées', 'fp'), ('accrédités', 'mp')]",variations en genre et en nombre silencieuses
accueillant,"[('accueillant', 'ms'), ('accueillante', 'fs'), ('accueillantes', 'fp'), ('accueillants', 'mp')]",variations en genre audible et en nombre silencieuses
accumulateur,"[('accumulateur', 'ms'), ('accumulateurs', 'mp'), ('accumulatrice', 'fs'), ('accumulatrices', 'fp')]",invariable
accumulé,"[('accumulé', 'ms'), ('accumulée', 'fs'), ('accumulées', 'fp'), ('accumulés', 'mp')]",variations en genre et en nombre silencieuses
accusateur,"[('accusateur', 'ms'), ('accusateurs', 'mp'), ('accusatrice', 'fs'), ('accusatrices', 'fp')]",invariable
accusatoire,"[('accusatoire', 's'), ('accusatoires', 'p')]",variations en genre et en nombre silencieuses
accélérateur,"[('accélérateur', 'ms'), ('accélérateurs', 'mp'), ('accélératrice', 'fs'), ('accélératrices', 'fp')]",invariable
accéléré,"[('accéléré', 'ms'), ('accélérée', 'fs'), ('accélérées', 'fp'), ('accélérés', 'mp')]",variations en genre et en nombre silencieuses
acerbe,"[('acerbe', 's'), ('acerbes', 'p')]",variations en genre et en nombre silencieuses
acescent,"[('acescent', 'ms'), ('acescente', 'fs'), ('acescentes', 'fp'), ('acescents', 'mp')]",variations en genre audible et en nombre silencieuses
achalandé,"[('achalandé', 'ms'), ('achalandée', 'fs'), ('achalandées', 'fp'), ('achalandés', 'mp')]",variations en genre et en nombre silencieuses
acharné,"[('acharné', 'ms'), ('acharnée', 'fs'), ('acharnées', 'fp'), ('acharnés', 'mp')]",variations en genre et en nombre silencieuses
achetable,"[('achetable', 's'), ('achetables', 'p')]",variations en genre et en nombre silencieuses
acheteur,"[('acheteur', 'ms'), ('acheteurs', 'mp'), ('acheteuse', 'fs'), ('acheteuses', 'fp')]",invariable
acheuléen,"[('acheuléen', 'ms'), ('acheuléenne', 'fs'), ('acheuléennes', 'fp'), ('acheuléens', 'mp')]",variations en genre audible et en nombre silencieuses
achevé,"[('achevé', 'ms'), ('achevée', 'fs'), ('achevées', 'fp'), ('achevés', 'mp')]",variations en genre et en nombre silencieuses
achromatique,"[('achromatique', 's'), ('achromatiques', 'p')]",variations en genre et en nombre silencieuses
achrome,"[('achrome', 's'), ('achromes', 'p')]",variations en genre et en nombre silencieuses
achromique,"[('achromique', 's'), ('achromiques', 'p')]",variations en genre et en nombre silencieuses
achéen,"[('achéen', 'ms'), ('achéenne', 'fs'), ('achéennes', 'fp'), ('achéens', 'mp')]",variations en genre audible et en nombre silencieuses
achéménide,"[('achéménide', 's'), ('achéménides', 'p')]",variations en genre et en nombre silencieuses
aciculaire,"[('aciculaire', 's'), ('aciculaires', 'p')]",variations en genre et en nombre silencieuses
acide,"[('acide', 's'), ('acides', 'p')]",variations en genre et en nombre silencieuses
acidifiable,"[('acidifiable', 's'), ('acidifiables', 'p')]",variations en genre et en nombre silencieuses
acidifiant,"[('acidifiant', 'ms'), ('acidifiante', 'fs'), ('acidifiantes', 'fp'), ('acidifiants', 'mp')]",variations en genre audible et en nombre silencieuses
acidophile,"[('acidophile', 's'), ('acidophiles', 'p')]",variations en genre et en nombre silencieuses
acidulé,"[('acidulé', 'ms'), ('acidulée', 'fs'), ('acidulées', 'fp'), ('acidulés', 'mp')]",variations en genre et en nombre silencieuses
acineux,"[('acineuse', 'fs'), ('acineuses', 'fp'), ('acineux', 'm')]",variations en genre audible et en nombre silencieuses
aciéreux,"[('aciéreuse', 'fs'), ('aciéreuses', 'fp'), ('aciéreux', 'm')]",variations en genre audible et en nombre silencieuses
aciéré,"[('aciéré', 'ms'), ('aciérée', 'fs'), ('aciérées', 'fp'), ('aciérés', 'mp')]",variations en genre et en nombre silencieuses
aclinal,"[('aclinal', 'ms'), ('aclinale', 'fs'), ('aclinales', 'fp'), ('aclinals', 'mp')]",variations en genre et en nombre silencieuses
aclinique,"[('aclinique', 's'), ('acliniques', 'p')]",variations en genre et en nombre silencieuses
acméiste,"[('acméiste', 's'), ('acméistes', 'p')]",variations en genre et en nombre silencieuses
acnodal,"[('acnodal', 'ms'), ('acnodale', 'fs'), ('acnodales', 'fp'), ('acnodals', 'mp')]",variations en genre et en nombre silencieuses
