adjectifs,ensembles des traits morpho,catégorie
salazariste,"[('salazariste', 's'), ('salazaristes', 'p')]",variations en genre et en nombre silencieuses
salique,"[('salique', 's'), ('saliques', 'p')]",variations en genre et en nombre silencieuses
salissant,"[('salissant', 'ms'), ('salissante', 'fs'), ('salissantes', 'fp'), ('salissants', 'mp')]",variations en genre audible et en nombre silencieuses
salivaire,"[('salivaire', 's'), ('salivaires', 'p')]",variations en genre et en nombre silencieuses
salop,"[('salop', 'ms'), ('salope', 'fs'), ('salopes', 'fp'), ('salops', 'mp')]",invariable
salubre,"[('salubre', 's'), ('salubres', 'p')]",variations en genre et en nombre silencieuses
salutaire,"[('salutaire', 's'), ('salutaires', 'p')]",variations en genre et en nombre silencieuses
salvadorien,"[('salvadorien', 'ms'), ('salvadorienne', 'fs'), ('salvadoriennes', 'fp'), ('salvadoriens', 'mp')]",variations en genre audible et en nombre silencieuses
salvateur,"[('salvateur', 'ms'), ('salvateurs', 'mp'), ('salvatrice', 'fs'), ('salvatrices', 'fp')]",invariable
sanctionnable,"[('sanctionnable', 's'), ('sanctionnables', 'p')]",variations en genre et en nombre silencieuses
sandiniste,"[('sandiniste', 's'), ('sandinistes', 'p')]",variations en genre et en nombre silencieuses
sanglant,"[('sanglant', 'ms'), ('sanglante', 'fs'), ('sanglantes', 'fp'), ('sanglants', 'mp')]",variations en genre audible et en nombre silencieuses
sanglotant,"[('sanglotant', 'ms'), ('sanglotante', 'fs'), ('sanglotantes', 'fp'), ('sanglotants', 'mp')]",variations en genre audible et en nombre silencieuses
sanguin,"[('sanguin', 'ms'), ('sanguine', 'fs'), ('sanguines', 'fp'), ('sanguins', 'mp')]",variations en genre audible et en nombre silencieuses
sanguinaire,"[('sanguinaire', 's'), ('sanguinaires', 'p')]",variations en genre et en nombre silencieuses
sanguinolent,"[('sanguinolent', 'ms'), ('sanguinolente', 'fs'), ('sanguinolentes', 'fp'), ('sanguinolents', 'mp')]",variations en genre audible et en nombre silencieuses
sanitaire,"[('sanitaire', 's'), ('sanitaires', 'p')]",variations en genre et en nombre silencieuses
sanskrit,"[('sanskrit', 'ms'), ('sanskrite', 'fs'), ('sanskrites', 'fp'), ('sanskrits', 'mp')]",variations en genre audible et en nombre silencieuses
saoudien,"[('saoudien', 'ms'), ('saoudienne', 'fs'), ('saoudiennes', 'fp'), ('saoudiens', 'mp')]",variations en genre audible et en nombre silencieuses
saoudite,"[('saoudite', 's'), ('saoudites', 'p')]",variations en genre et en nombre silencieuses
saoul,"[('saoul', 'ms'), ('saoule', 'fs'), ('saoules', 'fp'), ('saouls', 'mp')]",invariable
saoûl,"[('saoûl', 'ms'), ('saoûle', 'fs'), ('saoûles', 'fp'), ('saoûls', 'mp')]",invariable
sarcastique,"[('sarcastique', 's'), ('sarcastiques', 'p')]",variations en genre et en nombre silencieuses
sardonique,"[('sardonique', 's'), ('sardoniques', 'p')]",variations en genre et en nombre silencieuses
sarmate,"[('sarmate', 's'), ('sarmates', 'p')]",variations en genre et en nombre silencieuses
sarmenteux,"[('sarmenteuse', 'fs'), ('sarmenteuses', 'fp'), ('sarmenteux', 'm')]",variations en genre audible et en nombre silencieuses
sassanide,"[('sassanide', 's'), ('sassanides', 'p')]",variations en genre et en nombre silencieuses
satanique,"[('satanique', 's'), ('sataniques', 'p')]",variations en genre et en nombre silencieuses
sataniste,"[('sataniste', 's'), ('satanistes', 'p')]",variations en genre et en nombre silencieuses
satellitaire,"[('satellitaire', 's'), ('satellitaires', 'p')]",variations en genre et en nombre silencieuses
satellite,"[('satellite', 's'), ('satellites', 'p')]",variations en genre et en nombre silencieuses
satirique,"[('satirique', 's'), ('satiriques', 'p')]",variations en genre et en nombre silencieuses
satisfaisant,"[('satisfaisant', 'ms'), ('satisfaisante', 'fs'), ('satisfaisantes', 'fp'), ('satisfaisants', 'mp')]",variations en genre audible et en nombre silencieuses
satisfait,"[('satisfait', 'ms'), ('satisfaite', 'fs'), ('satisfaites', 'fp'), ('satisfaits', 'mp')]",variations en genre audible et en nombre silencieuses
sauf,"[('sauf', 'ms'), ('saufs', 'mp'), ('sauve', 'fs'), ('sauves', 'fp')]",variations en genre audible et en nombre silencieuses
saugrenu,"[('saugrenu', 'ms'), ('saugrenue', 'fs'), ('saugrenues', 'fp'), ('saugrenus', 'mp')]",variations en genre et en nombre silencieuses
saumoné,"[('saumoné', 'ms'), ('saumonée', 'fs'), ('saumonées', 'fp'), ('saumonés', 'mp')]",variations en genre et en nombre silencieuses
saumâtre,"[('saumâtre', 's'), ('saumâtres', 'p')]",variations en genre et en nombre silencieuses
saur,"[('saur', 'ms'), ('saure', 'fs'), ('saures', 'fp'), ('saurs', 'mp')]",variations en genre et en nombre silencieuses
sautillant,"[('sautillant', 'ms'), ('sautillante', 'fs'), ('sautillantes', 'fp'), ('sautillants', 'mp')]",variations en genre audible et en nombre silencieuses
sauvage,"[('sauvage', 's'), ('sauvages', 'p')]",variations en genre et en nombre silencieuses
savant,"[('savant', 'ms'), ('savante', 'fs'), ('savantes', 'fp'), ('savants', 'mp')]",variations en genre audible et en nombre silencieuses
savonneux,"[('savonneuse', 'fs'), ('savonneuses', 'fp'), ('savonneux', 'm')]",variations en genre audible et en nombre silencieuses
savoureux,"[('savoureuse', 'fs'), ('savoureuses', 'fp'), ('savoureux', 'm')]",variations en genre audible et en nombre silencieuses
savoyard,"[('savoyard', 'ms'), ('savoyarde', 'fs'), ('savoyardes', 'fp'), ('savoyards', 'mp')]",invariable
saxon,"[('saxon', 'ms'), ('saxonne', 'fs'), ('saxonnes', 'fp'), ('saxons', 'mp')]",variations en genre audible et en nombre silencieuses
scabreux,"[('scabreuse', 'fs'), ('scabreuses', 'fp'), ('scabreux', 'm')]",variations en genre audible et en nombre silencieuses
scandaleux,"[('scandaleuse', 'fs'), ('scandaleuses', 'fp'), ('scandaleux', 'm')]",variations en genre audible et en nombre silencieuses
scandinave,"[('scandinave', 's'), ('scandinaves', 'p')]",variations en genre et en nombre silencieuses
scannerisé,"[('scannerisé', 'ms'), ('scannerisée', 'fs'), ('scannerisées', 'fp'), ('scannerisés', 'mp')]",variations en genre et en nombre silencieuses
scarieux,"[('scarieuse', 'fs'), ('scarieuses', 'fp'), ('scarieux', 'm')]",variations en genre audible et en nombre silencieuses
scatologique,"[('scatologique', 's'), ('scatologiques', 'p')]",variations en genre et en nombre silencieuses
sceptique,"[('sceptique', 's'), ('sceptiques', 'p')]",variations en genre et en nombre silencieuses
schismatique,"[('schismatique', 's'), ('schismatiques', 'p')]",variations en genre et en nombre silencieuses
schisteux,"[('schisteuse', 'fs'), ('schisteuses', 'fp'), ('schisteux', 'm')]",variations en genre audible et en nombre silencieuses
schizophrène,"[('schizophrène', 's'), ('schizophrènes', 'p')]",variations en genre et en nombre silencieuses
schizophrénique,"[('schizophrénique', 's'), ('schizophréniques', 'p')]",variations en genre et en nombre silencieuses
schumpétérien,"[('schumpétérien', 'ms'), ('schumpétérienne', 'fs'), ('schumpétériennes', 'fp'), ('schumpétériens', 'mp')]",variations en genre audible et en nombre silencieuses
schématique,"[('schématique', 's'), ('schématiques', 'p')]",variations en genre et en nombre silencieuses
scientifico-technique,"[('scientifico-technique', 's'), ('scientifico-techniques', 'p')]",variations en genre et en nombre silencieuses
scientifique,"[('scientifique', 's'), ('scientifiques', 'p')]",variations en genre et en nombre silencieuses
scintillant,"[('scintillant', 'ms'), ('scintillante', 'fs'), ('scintillantes', 'fp'), ('scintillants', 'mp')]",variations en genre audible et en nombre silencieuses
scléral,"[('scléral', 'ms'), ('sclérale', 'fs'), ('sclérales', 'fp'), ('scléraux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
scléreux,"[('scléreuse', 'fs'), ('scléreuses', 'fp'), ('scléreux', 'm')]",variations en genre audible et en nombre silencieuses
scolaire,"[('scolaire', 's'), ('scolaires', 'p')]",variations en genre et en nombre silencieuses
scoriacé,"[('scoriacé', 'ms'), ('scoriacée', 'fs'), ('scoriacées', 'fp'), ('scoriacés', 'mp')]",variations en genre et en nombre silencieuses
scriptural,"[('scriptural', 'ms'), ('scripturale', 'fs'), ('scripturales', 'fp'), ('scripturaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
scrupuleux,"[('scrupuleuse', 'fs'), ('scrupuleuses', 'fp'), ('scrupuleux', 'm')]",variations en genre audible et en nombre silencieuses
scrutateur,"[('scrutateur', 'ms'), ('scrutateurs', 'mp'), ('scrutatrice', 'fs'), ('scrutatrices', 'fp')]",invariable
sculptural,"[('sculptural', 'ms'), ('sculpturale', 'fs'), ('sculpturales', 'fp'), ('sculpturaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
scythique,"[('scythique', 's'), ('scythiques', 'p')]",variations en genre et en nombre silencieuses
scélérat,"[('scélérat', 'ms'), ('scélérate', 'fs'), ('scélérates', 'fp'), ('scélérats', 'mp')]",variations en genre audible et en nombre silencieuses
scénique,"[('scénique', 's'), ('scéniques', 'p')]",variations en genre et en nombre silencieuses
scénographique,"[('scénographique', 's'), ('scénographiques', 'p')]",variations en genre et en nombre silencieuses
sec,"[('sec', 'ms'), ('secs', 'mp'), ('sèche', 'fs'), ('sèches', 'fp')]",invariable
second,"[('second', 'ms'), ('seconde', 'fs'), ('secondes', 'fp'), ('seconds', 'mp')]",invariable
secondaire,"[('secondaire', 's'), ('secondaires', 'p')]",variations en genre et en nombre silencieuses
seconde,"[('seconde', 's'), ('secondes', 'p')]",variations en genre et en nombre silencieuses
secourable,"[('secourable', 's'), ('secourables', 'p')]",variations en genre et en nombre silencieuses
secourant,"[('secourant', 'ms'), ('secourante', 'fs'), ('secourantes', 'fp'), ('secourants', 'mp')]",variations en genre audible et en nombre silencieuses
secret,"[('secret', 'ms'), ('secrets', 'mp'), ('secrète', 'fs'), ('secrètes', 'fp')]",variations en genre audible et en nombre silencieuses
sectaire,"[('sectaire', 's'), ('sectaires', 'p')]",variations en genre et en nombre silencieuses
sectoriel,"[('sectoriel', 'ms'), ('sectorielle', 'fs'), ('sectorielles', 'fp'), ('sectoriels', 'mp')]",variations en genre et en nombre silencieuses
seigneurial,"[('seigneurial', 'ms'), ('seigneuriale', 'fs'), ('seigneuriales', 'fp'), ('seigneuriaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
seizième,"[('seizième', 's'), ('seizièmes', 'p')]",variations en genre et en nombre silencieuses
seldjoukide,"[('seldjoukide', 's'), ('seldjoukides', 'p')]",variations en genre et en nombre silencieuses
semblable,"[('semblable', 's'), ('semblables', 'p')]",variations en genre et en nombre silencieuses
semestriel,"[('semestriel', 'ms'), ('semestrielle', 'fs'), ('semestrielles', 'fp'), ('semestriels', 'mp')]",variations en genre et en nombre silencieuses
sempervirent,"[('sempervirent', 'ms'), ('sempervirente', 'fs'), ('sempervirentes', 'fp'), ('sempervirents', 'mp')]",variations en genre audible et en nombre silencieuses
sempiternel,"[('sempiternel', 'ms'), ('sempiternelle', 'fs'), ('sempiternelles', 'fp'), ('sempiternels', 'mp')]",variations en genre et en nombre silencieuses
senestre,"[('senestre', 's'), ('senestres', 'p')]",variations en genre et en nombre silencieuses
senghorien,"[('senghorien', 'ms'), ('senghorienne', 'fs'), ('senghoriennes', 'fp'), ('senghoriens', 'mp')]",variations en genre audible et en nombre silencieuses
sensationnel,"[('sensationnel', 'ms'), ('sensationnelle', 'fs'), ('sensationnelles', 'fp'), ('sensationnels', 'mp')]",variations en genre et en nombre silencieuses
sensible,"[('sensible', 's'), ('sensibles', 'p')]",variations en genre et en nombre silencieuses
sensoriel,"[('sensoriel', 'ms'), ('sensorielle', 'fs'), ('sensorielles', 'fp'), ('sensoriels', 'mp')]",variations en genre et en nombre silencieuses
sensuel,"[('sensuel', 'ms'), ('sensuelle', 'fs'), ('sensuelles', 'fp'), ('sensuels', 'mp')]",variations en genre et en nombre silencieuses
sensé,"[('sensé', 'ms'), ('sensée', 'fs'), ('sensées', 'fp'), ('sensés', 'mp')]",variations en genre et en nombre silencieuses
sentencieux,"[('sentencieuse', 'fs'), ('sentencieuses', 'fp'), ('sentencieux', 'm')]",variations en genre audible et en nombre silencieuses
sentimental,"[('sentimental', 'ms'), ('sentimentale', 'fs'), ('sentimentales', 'fp'), ('sentimentaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
septennal,"[('septennal', 'ms'), ('septennale', 'fs'), ('septennales', 'fp'), ('septennaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
septentrional,"[('septentrional', 'ms'), ('septentrionale', 'fs'), ('septentrionales', 'fp'), ('septentrionaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
septicide,"[('septicide', 's'), ('septicides', 'p')]",variations en genre et en nombre silencieuses
septique,"[('septique', 's'), ('septiques', 'p')]",variations en genre et en nombre silencieuses
septième,"[('septième', 's'), ('septièmes', 'p')]",variations en genre et en nombre silencieuses
sequiturque,"[('sequiturque', 's'), ('sequunturque', 'p'), ('sq..', 's'), ('sqq..', 'p')]",variations en genre et en nombre silencieuses
serbe,"[('serbe', 's'), ('serbes', 'p')]",variations en genre et en nombre silencieuses
serein,"[('serein', 'ms'), ('sereine', 'fs'), ('sereines', 'fp'), ('sereins', 'mp')]",variations en genre audible et en nombre silencieuses
serviable,"[('serviable', 's'), ('serviables', 'p')]",variations en genre et en nombre silencieuses
servile,"[('servile', 's'), ('serviles', 'p')]",variations en genre et en nombre silencieuses
sessile,"[('sessile', 's'), ('sessiles', 'p')]",variations en genre et en nombre silencieuses
seul,"[('seul', 'ms'), ('seule', 'fs'), ('seules', 'fp'), ('seuls', 'mp')]",variations en genre et en nombre silencieuses
sexiste,"[('sexiste', 's'), ('sexistes', 'p')]",variations en genre et en nombre silencieuses
sexuel,"[('sexuel', 'ms'), ('sexuelle', 'fs'), ('sexuelles', 'fp'), ('sexuels', 'mp')]",variations en genre et en nombre silencieuses
sexué,"[('sexué', 'ms'), ('sexuée', 'fs'), ('sexuées', 'fp'), ('sexués', 'mp')]",variations en genre et en nombre silencieuses
sexy,"[('sexy', 's'), ('sexys', 'p')]",variations en genre et en nombre silencieuses
seyant,"[('seyant', 'ms'), ('seyante', 'fs'), ('seyantes', 'fp'), ('seyants', 'mp')]",variations en genre audible et en nombre silencieuses
shakespearien,"[('shakespearien', 'ms'), ('shakespearienne', 'fs'), ('shakespeariennes', 'fp'), ('shakespeariens', 'mp')]",variations en genre audible et en nombre silencieuses
sibyllin,"[('sibyllin', 'ms'), ('sibylline', 'fs'), ('sibyllines', 'fp'), ('sibyllins', 'mp')]",variations en genre audible et en nombre silencieuses
sibérien,"[('sibérien', 'ms'), ('sibérienne', 'fs'), ('sibériennes', 'fp'), ('sibériens', 'mp')]",variations en genre audible et en nombre silencieuses
siccatif,"[('siccatif', 'ms'), ('siccatifs', 'mp'), ('siccative', 'fs'), ('siccatives', 'fp')]",variations en genre audible et en nombre silencieuses
sicilien,"[('sicilien', 'ms'), ('sicilienne', 'fs'), ('siciliennes', 'fp'), ('siciliens', 'mp')]",variations en genre audible et en nombre silencieuses
sidéral,"[('sidéral', 'ms'), ('sidérale', 'fs'), ('sidérales', 'fp'), ('sidéraux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
sidérant,"[('sidérant', 'ms'), ('sidérante', 'fs'), ('sidérantes', 'fp'), ('sidérants', 'mp')]",variations en genre audible et en nombre silencieuses
sidérurgique,"[('sidérurgique', 's'), ('sidérurgiques', 'p')]",variations en genre et en nombre silencieuses
sien,"[('sien', 'ms'), ('sienne', 'fs'), ('siennes', 'fp'), ('siens', 'mp')]",variations en genre audible et en nombre silencieuses
sierra-léonais,"[('sierra-léonais', 'm'), ('sierra-léonaise', 'fs'), ('sierra-léonaises', 'fp')]",variations en genre audible et en nombre silencieuses
sifflant,"[('sifflant', 'ms'), ('sifflante', 'fs'), ('sifflantes', 'fp'), ('sifflants', 'mp')]",variations en genre audible et en nombre silencieuses
signalétique,"[('signalétique', 's'), ('signalétiques', 'p')]",variations en genre et en nombre silencieuses
signifiant,"[('signifiant', 'ms'), ('signifiante', 'fs'), ('signifiantes', 'fp'), ('signifiants', 'mp')]",variations en genre audible et en nombre silencieuses
significatif,"[('significatif', 'ms'), ('significatifs', 'mp'), ('significative', 'fs'), ('significatives', 'fp')]",variations en genre audible et en nombre silencieuses
sikh,"[('sikh', 'ms'), ('sikhe', 'fs'), ('sikhes', 'fp'), ('sikhs', 'mp')]",invariable
silencieux,"[('silencieuse', 'fs'), ('silencieuses', 'fp'), ('silencieux', 'm')]",variations en genre audible et en nombre silencieuses
silésien,"[('silésien', 'ms'), ('silésienne', 'fs'), ('silésiennes', 'fp'), ('silésiens', 'mp')]",variations en genre audible et en nombre silencieuses
simiesque,"[('simiesque', 's'), ('simiesques', 'p')]",variations en genre et en nombre silencieuses
similaire,"[('similaire', 's'), ('similaires', 'p')]",variations en genre et en nombre silencieuses
simple,"[('simple', 's'), ('simples', 'p')]",variations en genre et en nombre silencieuses
simplifiable,"[('simplifiable', 's'), ('simplifiables', 'p')]",variations en genre et en nombre silencieuses
simplificateur,"[('simplificateur', 'ms'), ('simplificateurs', 'mp'), ('simplificatrice', 'fs'), ('simplificatrices', 'fp')]",invariable
simplissime,"[('simplissime', 's'), ('simplissimes', 'p')]",variations en genre et en nombre silencieuses
simpliste,"[('simpliste', 's'), ('simplistes', 'p')]",variations en genre et en nombre silencieuses
simultané,"[('simultané', 'ms'), ('simultanée', 'fs'), ('simultanées', 'fp'), ('simultanés', 'mp')]",variations en genre et en nombre silencieuses
sincère,"[('sincère', 's'), ('sincères', 'p')]",variations en genre et en nombre silencieuses
singapourien,"[('singapourien', 'ms'), ('singapourienne', 'fs'), ('singapouriennes', 'fp'), ('singapouriens', 'mp')]",variations en genre audible et en nombre silencieuses
singulier,"[('singulier', 'ms'), ('singuliers', 'mp'), ('singulière', 'fs'), ('singulières', 'fp')]",variations en genre et en nombre silencieuses
sinistre,"[('sinistre', 's'), ('sinistres', 'p')]",variations en genre et en nombre silencieuses
sinistré,"[('sinistré', 'ms'), ('sinistrée', 'fs'), ('sinistrées', 'fp'), ('sinistrés', 'mp')]",variations en genre et en nombre silencieuses
sinueux,"[('sinueuse', 'fs'), ('sinueuses', 'fp'), ('sinueux', 'm')]",variations en genre audible et en nombre silencieuses
sinusal,"[('sinusal', 'ms'), ('sinusale', 'fs'), ('sinusales', 'fp'), ('sinusaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
sinusoïdal,"[('sinusoïdal', 'ms'), ('sinusoïdale', 'fs'), ('sinusoïdales', 'fp'), ('sinusoïdaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
sinué,"[('sinué', 'ms'), ('sinuée', 'fs'), ('sinuées', 'fp'), ('sinués', 'mp')]",variations en genre et en nombre silencieuses
sioniste,"[('sioniste', 's'), ('sionistes', 'p')]",variations en genre et en nombre silencieuses
sirupeux,"[('sirupeuse', 'fs'), ('sirupeuses', 'fp'), ('sirupeux', 'm')]",variations en genre audible et en nombre silencieuses
sismologique,"[('sismologique', 's'), ('sismologiques', 'p')]",variations en genre et en nombre silencieuses
situationnel,"[('situationnel', 'ms'), ('situationnelle', 'fs'), ('situationnelles', 'fp'), ('situationnels', 'mp')]",variations en genre et en nombre silencieuses
situationniste,"[('situationniste', 's'), ('situationnistes', 'p')]",variations en genre et en nombre silencieuses
situé,"[('situé', 'ms'), ('située', 'fs'), ('situées', 'fp'), ('situés', 'mp')]",variations en genre et en nombre silencieuses
sixième,"[('sixième', 's'), ('sixièmes', 'p')]",variations en genre et en nombre silencieuses
skiable,"[('skiable', 's'), ('skiables', 'p')]",variations en genre et en nombre silencieuses
slave,"[('slave', 's'), ('slaves', 'p')]",variations en genre et en nombre silencieuses
slavophile,"[('slavophile', 's'), ('slavophiles', 'p')]",variations en genre et en nombre silencieuses
slovaque,"[('slovaque', 's'), ('slovaques', 'p')]",variations en genre et en nombre silencieuses
slovène,"[('slovène', 's'), ('slovènes', 'p')]",variations en genre et en nombre silencieuses
snob,"[('snob', 's'), ('snobs', 'p')]",invariable
sobre,"[('sobre', 's'), ('sobres', 'p')]",variations en genre et en nombre silencieuses
sociable,"[('sociable', 's'), ('sociables', 'p')]",variations en genre et en nombre silencieuses
social,"[('social', 'ms'), ('sociale', 'fs'), ('sociales', 'fp'), ('socials', 'mp'), ('sociaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
social-démocrate,"[('social-démocrate', 's'), ('social-démocrates', 'p')]",variations en genre et en nombre silencieuses
socialiste,"[('socialiste', 's'), ('socialistes', 'p')]",variations en genre et en nombre silencieuses
socioculturel,"[('socioculturel', 'ms'), ('socioculturelle', 'fs'), ('socioculturelles', 'fp'), ('socioculturels', 'mp')]",variations en genre et en nombre silencieuses
sociologique,"[('sociologique', 's'), ('sociologiques', 'p')]",variations en genre et en nombre silencieuses
socioprofessionnel,"[('socioprofessionnel', 'ms'), ('socioprofessionnelle', 'fs'), ('socioprofessionnelles', 'fp'), ('socioprofessionnels', 'mp')]",variations en genre et en nombre silencieuses
socioéconomique,"[('socioéconomique', 's'), ('socioéconomiques', 'p')]",variations en genre et en nombre silencieuses
sociétal,"[('sociétal', 'ms'), ('sociétale', 'fs'), ('sociétales', 'fp'), ('sociétaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
socratique,"[('socratique', 's'), ('socratiques', 'p')]",variations en genre et en nombre silencieuses
soft,"[('soft', 's'), ('softs', 'p')]",invariable
sogdien,"[('sogdien', 'ms'), ('sogdienne', 'fs'), ('sogdiennes', 'fp'), ('sogdiens', 'mp')]",variations en genre audible et en nombre silencieuses
soi-disant,"[('soi-disant', '')]",invariable
soignant,"[('soignant', 'ms'), ('soignante', 'fs'), ('soignantes', 'fp'), ('soignants', 'mp')]",variations en genre audible et en nombre silencieuses
soigneux,"[('soigneuse', 'fs'), ('soigneuses', 'fp'), ('soigneux', 'm')]",variations en genre audible et en nombre silencieuses
solaire,"[('solaire', 's'), ('solaires', 'p')]",variations en genre et en nombre silencieuses
solennel,"[('solennel', 'ms'), ('solennelle', 'fs'), ('solennelles', 'fp'), ('solennels', 'mp')]",variations en genre et en nombre silencieuses
solidaire,"[('solidaire', 's'), ('solidaires', 'p')]",variations en genre et en nombre silencieuses
solide,"[('solide', 's'), ('solides', 'p')]",variations en genre et en nombre silencieuses
solitaire,"[('solitaire', 's'), ('solitaires', 'p')]",variations en genre et en nombre silencieuses
soluble,"[('soluble', 's'), ('solubles', 'p')]",variations en genre et en nombre silencieuses
solutréen,"[('solutréen', 'ms'), ('solutréenne', 'fs'), ('solutréennes', 'fp'), ('solutréens', 'mp')]",variations en genre audible et en nombre silencieuses
solvable,"[('solvable', 's'), ('solvables', 'p')]",variations en genre et en nombre silencieuses
solénoïdal,"[('solénoïdal', 'ms'), ('solénoïdale', 'fs'), ('solénoïdales', 'fp'), ('solénoïdaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
somalien,"[('somalien', 'ms'), ('somalienne', 'fs'), ('somaliennes', 'fp'), ('somaliens', 'mp')]",variations en genre audible et en nombre silencieuses
somatique,"[('somatique', 's'), ('somatiques', 'p')]",variations en genre et en nombre silencieuses
sombre,"[('sombre', 's'), ('sombres', 'p')]",variations en genre et en nombre silencieuses
sommaire,"[('sommaire', 's'), ('sommaires', 'p')]",variations en genre et en nombre silencieuses
somnolent,"[('somnolent', 'ms'), ('somnolente', 'fs'), ('somnolentes', 'fp'), ('somnolents', 'mp')]",variations en genre audible et en nombre silencieuses
somoziste,"[('somoziste', 's'), ('somozistes', 'p')]",variations en genre et en nombre silencieuses
somptuaire,"[('somptuaire', 's'), ('somptuaires', 'p')]",variations en genre et en nombre silencieuses
somptueux,"[('somptueuse', 'fs'), ('somptueuses', 'fp'), ('somptueux', 'm')]",variations en genre audible et en nombre silencieuses
songeur,"[('songeur', 'ms'), ('songeurs', 'mp'), ('songeuse', 'fs'), ('songeuses', 'fp')]",invariable
sonnant,"[('sonnant', 'ms'), ('sonnante', 'fs'), ('sonnantes', 'fp'), ('sonnants', 'mp')]",variations en genre audible et en nombre silencieuses
sonore,"[('sonore', 's'), ('sonores', 'p')]",variations en genre et en nombre silencieuses
sorcier,"[('sorcier', 'ms'), ('sorciers', 'mp'), ('sorcière', 'fs'), ('sorcières', 'fp')]",variations en genre et en nombre silencieuses
sordide,"[('sordide', 's'), ('sordides', 'p')]",variations en genre et en nombre silencieuses
sortable,"[('sortable', 's'), ('sortables', 'p')]",variations en genre et en nombre silencieuses
sortant,"[('sortant', 'ms'), ('sortante', 'fs'), ('sortantes', 'fp'), ('sortants', 'mp')]",variations en genre audible et en nombre silencieuses
sot,"[('sot', 'ms'), ('sots', 'mp'), ('sotte', 'fs'), ('sottes', 'fp')]",variations en genre audible et en nombre silencieuses
soucieux,"[('soucieuse', 'fs'), ('soucieuses', 'fp'), ('soucieux', 'm')]",variations en genre audible et en nombre silencieuses
soudain,"[('soudain', 'ms'), ('soudaine', 'fs'), ('soudaines', 'fp'), ('soudains', 'mp')]",variations en genre audible et en nombre silencieuses
soudanais,"[('soudanais', 'm'), ('soudanaise', 'fs'), ('soudanaises', 'fp')]",variations en genre audible et en nombre silencieuses
soudanien,"[('soudanien', 'ms'), ('soudanienne', 'fs'), ('soudaniennes', 'fp'), ('soudaniens', 'mp')]",variations en genre audible et en nombre silencieuses
souffrant,"[('souffrant', 'ms'), ('souffrante', 'fs'), ('souffrantes', 'fp'), ('souffrants', 'mp')]",variations en genre audible et en nombre silencieuses
soufi,"[('soufi', 'ms'), ('soufie', 'fs'), ('soufies', 'fp'), ('soufis', 'mp')]",variations en genre et en nombre silencieuses
souhaitable,"[('souhaitable', 's'), ('souhaitables', 'p')]",variations en genre et en nombre silencieuses
soupe au lait,"[('soupe au lait', '')]",invariable
souple,"[('souple', 's'), ('souples', 'p')]",variations en genre et en nombre silencieuses
soupçonnable,"[('soupçonnable', 's'), ('soupçonnables', 'p')]",variations en genre et en nombre silencieuses
soupçonneux,"[('soupçonneuse', 'fs'), ('soupçonneuses', 'fp'), ('soupçonneux', 'm')]",variations en genre audible et en nombre silencieuses
sourcilleux,"[('sourcilleuse', 'fs'), ('sourcilleuses', 'fp'), ('sourcilleux', 'm')]",variations en genre audible et en nombre silencieuses
sourd,"[('sourd', 'ms'), ('sourde', 'fs'), ('sourdes', 'fp'), ('sourds', 'mp')]",invariable
souriant,"[('souriant', 'ms'), ('souriante', 'fs'), ('souriantes', 'fp'), ('souriants', 'mp')]",variations en genre audible et en nombre silencieuses
sournois,"[('sournois', 'm'), ('sournoise', 'fs'), ('sournoises', 'fp')]",variations en genre audible et en nombre silencieuses
sous-cortico-spinal,"[('sous-cortico-spinal', 'ms'), ('sous-cortico-spinale', 'fs'), ('sous-cortico-spinales', 'fp'), ('sous-cortico-spinaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
sous-dural,"[('sous-dural', 'ms'), ('sous-durale', 'fs'), ('sous-durales', 'fp'), ('sous-duraux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
sous-jacent,"[('sous-jacent', 'ms'), ('sous-jacente', 'fs'), ('sous-jacentes', 'fp'), ('sous-jacents', 'mp')]",variations en genre audible et en nombre silencieuses
sous-tendu,"[('sous-tendu', 'ms'), ('sous-tendue', 'fs'), ('sous-tendues', 'fp'), ('sous-tendus', 'mp')]",variations en genre et en nombre silencieuses
