adjectifs,ensembles des traits morpho,catégorie
significatif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
sikh,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
silencieux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
silésien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
simiesque,"{'s', 'p'}",Varie en nombre
similaire,"{'s', 'p'}",Varie en nombre
simple,"{'s', 'p'}",Varie en nombre
simplifiable,"{'s', 'p'}",Varie en nombre
simplificateur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
simplissime,"{'s', 'p'}",Varie en nombre
simpliste,"{'s', 'p'}",Varie en nombre
simultané,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
sincère,"{'s', 'p'}",Varie en nombre
singapourien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
singulier,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
sinistre,"{'s', 'p'}",Varie en nombre
sinistré,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
sinueux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
sinusal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
sinusoïdal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
sinué,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
sioniste,"{'s', 'p'}",Varie en nombre
sirupeux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
sismologique,"{'s', 'p'}",Varie en nombre
situationnel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
situationniste,"{'s', 'p'}",Varie en nombre
situé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
sixième,"{'s', 'p'}",Varie en nombre
skiable,"{'s', 'p'}",Varie en nombre
slave,"{'s', 'p'}",Varie en nombre
slavophile,"{'s', 'p'}",Varie en nombre
slovaque,"{'s', 'p'}",Varie en nombre
slovène,"{'s', 'p'}",Varie en nombre
snob,"{'s', 'p'}",Varie en nombre
sobre,"{'s', 'p'}",Varie en nombre
sociable,"{'s', 'p'}",Varie en nombre
social,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
social-démocrate,"{'s', 'p'}",Varie en nombre
socialiste,"{'s', 'p'}",Varie en nombre
socioculturel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
sociologique,"{'s', 'p'}",Varie en nombre
socioprofessionnel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
socioéconomique,"{'s', 'p'}",Varie en nombre
sociétal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
socratique,"{'s', 'p'}",Varie en nombre
soft,"{'s', 'p'}",Varie en nombre
sogdien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
soi-disant,{''},Ne varie pas en genre et en nombre
soignant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
soigneux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
solaire,"{'s', 'p'}",Varie en nombre
solennel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
solidaire,"{'s', 'p'}",Varie en nombre
solide,"{'s', 'p'}",Varie en nombre
solitaire,"{'s', 'p'}",Varie en nombre
soluble,"{'s', 'p'}",Varie en nombre
solutréen,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
solvable,"{'s', 'p'}",Varie en nombre
solénoïdal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
somalien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
somatique,"{'s', 'p'}",Varie en nombre
sombre,"{'s', 'p'}",Varie en nombre
sommaire,"{'s', 'p'}",Varie en nombre
somnolent,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
somoziste,"{'s', 'p'}",Varie en nombre
somptuaire,"{'s', 'p'}",Varie en nombre
somptueux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
songeur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
sonnant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
sonore,"{'s', 'p'}",Varie en nombre
sorcier,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
sordide,"{'s', 'p'}",Varie en nombre
sortable,"{'s', 'p'}",Varie en nombre
sortant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
sot,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
soucieux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
soudain,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
soudanais,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
soudanien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
souffrant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
soufi,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
souhaitable,"{'s', 'p'}",Varie en nombre
soupe au lait,{''},Ne varie pas en genre et en nombre
souple,"{'s', 'p'}",Varie en nombre
soupçonnable,"{'s', 'p'}",Varie en nombre
soupçonneux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
sourcilleux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
sourd,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
souriant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
sournois,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
sous-cortico-spinal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
sous-dural,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
sous-jacent,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
sous-tendu,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
soutenable,"{'s', 'p'}",Varie en nombre
souterrain,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
souverain,"{'fp', 's', 'ms', 'p', 'mp', 'fs'}",Varie en genre et en nombre
souverainiste,"{'s', 'p'}",Varie en nombre
soviétique,"{'s', 'p'}",Varie en nombre
soyeux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
soûl,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
soûlant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
spacial,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
spacieux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
spartiate,"{'s', 'p'}",Varie en nombre
spasmodique,"{'s', 'p'}",Varie en nombre
spatial,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
spatio-temporel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
spectacle,"{'s', 'p'}",Varie en nombre
spectaculaire,"{'s', 'p'}",Varie en nombre
spectral,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
sphinctérien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
sphérique,"{'s', 'p'}",Varie en nombre
spinal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
spinescent,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
spiritualiste,"{'s', 'p'}",Varie en nombre
spirituel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
splendide,"{'s', 'p'}",Varie en nombre
spongiforme,"{'s', 'p'}",Varie en nombre
spontané,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
sporadique,"{'s', 'p'}",Varie en nombre
sportif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
spécial,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
spécialiste,"{'s', 'p'}",Varie en nombre
spécialisé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
spécieux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
spécifique,"{'s', 'p'}",Varie en nombre
spéculatif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
spéléologique,"{'s', 'p'}",Varie en nombre
squelettique,"{'s', 'p'}",Varie en nombre
sri-lankais,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
stabilisateur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
stable,"{'s', 'p'}",Varie en nombre
stagnant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
stalinien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
stallonien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
staminal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
standard,{''},Ne varie pas en genre et en nombre
statif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
statique,"{'s', 'p'}",Varie en nombre
statistique,"{'s', 'p'}",Varie en nombre
statutaire,"{'s', 'p'}",Varie en nombre
stellaire,"{'s', 'p'}",Varie en nombre
stigmatique,"{'s', 'p'}",Varie en nombre
stigmatisant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
stimulant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
stipité,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
stipulaire,"{'s', 'p'}",Varie en nombre
stolonifère,"{'s', 'p'}",Varie en nombre
stomacal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
stoïque,"{'s', 'p'}",Varie en nombre
stratosphérique,"{'s', 'p'}",Varie en nombre
stratégique,"{'s', 'p'}",Varie en nombre
stressant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
striatal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
strict,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
strident,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
strigilleux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
structural,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
structurant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
structurel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
studieux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
stupide,"{'s', 'p'}",Varie en nombre
stupéfait,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
stupéfiant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
sténographique,"{'s', 'p'}",Varie en nombre
stérile,"{'s', 'p'}",Varie en nombre
stérilisant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
stéréophonique,"{'s', 'p'}",Varie en nombre
stéréoscopique,"{'s', 'p'}",Varie en nombre
suave,"{'s', 'p'}",Varie en nombre
subacuminé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
subalterne,"{'s', 'p'}",Varie en nombre
subangulaire,"{'s', 'p'}",Varie en nombre
subdésertique,"{'s', 'p'}",Varie en nombre
subit,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
subjectif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
subjectiviste,"{'s', 'p'}",Varie en nombre
sublime,"{'s', 'p'}",Varie en nombre
sublingual,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
subrepteur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
subrogatif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
subrogatoire,"{'s', 'p'}",Varie en nombre
subsaharien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
subsidiaire,"{'s', 'p'}",Varie en nombre
subsonique,"{'s', 'p'}",Varie en nombre
substantiel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
substituable,"{'s', 'p'}",Varie en nombre
substitutif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
subséquent,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
subtil,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
subtropical,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
subulé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
suburbain,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
subversif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
subéreux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
successif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
succinct,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
succint,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
succulent,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
sucrière,"{'s', 'p'}",Varie en nombre
sud,{''},Ne varie pas en genre et en nombre
sud-est,{''},Ne varie pas en genre et en nombre
sudoripare,"{'s', 'p'}",Varie en nombre
suffisant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
suffocant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
suggestif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
suicidaire,"{'s', 'p'}",Varie en nombre
suisse,"{'s', 'p'}",Varie en nombre
suivant,"{'', 'fp', 'ms', 'mp', 'fs'}",Varie en genre et en nombre
sulfureux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
sulfurique,"{'s', 'p'}",Varie en nombre
supérieur,"{'', 'fp', 'ms', 'mp', 'fs'}",Varie en genre et en nombre
super,{''},Ne varie pas en genre et en nombre
superbe,"{'s', 'p'}",Varie en nombre
superficiel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
superflu,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
superfétatoire,"{'s', 'p'}",Varie en nombre
supergrand,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
superposable,"{'s', 'p'}",Varie en nombre
supersonique,"{'s', 'p'}",Varie en nombre
superstitieux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
suppliant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
supplémentaire,"{'s', 'p'}",Varie en nombre
supportable,"{'s', 'p'}",Varie en nombre
supranational,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
suprême,"{'s', 'p'}",Varie en nombre
supère,"{'s', 'p'}",Varie en nombre
sur,"{'s', 'p'}",Varie en nombre
surabondant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
suraigu,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
suranné,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
surhumain,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
surinamien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
surmontable,"{'s', 'p'}",Varie en nombre
surnaturel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
surprenant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
surprise,"{'s', 'p'}",Varie en nombre
surréaliste,"{'s', 'p'}",Varie en nombre
surréel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
surrénal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
survivant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
susceptible,"{'s', 'p'}",Varie en nombre
susindiqué,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
susnommé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
suspect,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
suspensif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
susvisé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
suédois,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
svelte,"{'s', 'p'}",Varie en nombre
swahili,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
syllabique,"{'s', 'p'}",Varie en nombre
sylvestre,"{'s', 'p'}",Varie en nombre
sylvicole,"{'s', 'p'}",Varie en nombre
symbolique,"{'s', 'p'}",Varie en nombre
sympa,"{'s', 'p'}",Varie en nombre
sympathique,"{'s', 'p'}",Varie en nombre
symphonique,"{'s', 'p'}",Varie en nombre
sympodial,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
symptomatique,"{'s', 'p'}",Varie en nombre
symétrique,"{'s', 'p'}",Varie en nombre
synallagmatique,"{'s', 'p'}",Varie en nombre
synaptique,"{'s', 'p'}",Varie en nombre
syncarpique,"{'s', 'p'}",Varie en nombre
synchronisé,"{'', 'fp', 'ms', 'mp', 'fs'}",Varie en genre et en nombre
synchrone,"{'s', 'p'}",Varie en nombre
synchronique,"{'s', 'p'}",Varie en nombre
synclinal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
syncrétique,"{'s', 'p'}",Varie en nombre
syndical,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
synergique,"{'s', 'p'}",Varie en nombre
synonyme,"{'s', 'p'}",Varie en nombre
synonymique,"{'s', 'p'}",Varie en nombre
synoptique,"{'s', 'p'}",Varie en nombre
syntaxique,"{'s', 'p'}",Varie en nombre
synthétique,"{'s', 'p'}",Varie en nombre
syphilitique,"{'s', 'p'}",Varie en nombre
syrien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
systématique,"{'s', 'p'}",Varie en nombre
séant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
sébacé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
sécant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
sécessionniste,"{'s', 'p'}",Varie en nombre
sécréteur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
séculaire,"{'s', 'p'}",Varie en nombre
sécurisant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
sécuritaire,"{'s', 'p'}",Varie en nombre
sédatif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
sédentaire,"{'s', 'p'}",Varie en nombre
sédimentaire,"{'s', 'p'}",Varie en nombre
séduisant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
ségrégatif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
séismique,"{'s', 'p'}",Varie en nombre
sélect,"{'s', 'p'}",Varie en nombre
sélectif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
séleucide,"{'s', 'p'}",Varie en nombre
sémantique,"{'s', 'p'}",Varie en nombre
sémillant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
séminal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
sémiologique,"{'s', 'p'}",Varie en nombre
sémite,"{'s', 'p'}",Varie en nombre
sémitique,"{'s', 'p'}",Varie en nombre
sénatorial,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
sénestre,"{'s', 'p'}",Varie en nombre
sénile,"{'s', 'p'}",Varie en nombre
sépaloïde,"{'s', 'p'}",Varie en nombre
séparable,"{'s', 'p'}",Varie en nombre
séparatiste,"{'s', 'p'}",Varie en nombre
sépulcral,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
séquentiel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
séraphique,"{'s', 'p'}",Varie en nombre
séreux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
séricicole,"{'s', 'p'}",Varie en nombre
sériculture,"{'s', 'p'}",Varie en nombre
sériel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
sérieux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
sérologique,"{'s', 'p'}",Varie en nombre
séropositif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
sérotoninergique,"{'s', 'p'}",Varie en nombre
sévère,"{'s', 'p'}",Varie en nombre
sûr,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
tabagique,"{'s', 'p'}",Varie en nombre
tabou,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
tacheté,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
tacite,"{'s', 'p'}",Varie en nombre
taciturne,"{'s', 'p'}",Varie en nombre
tactile,"{'s', 'p'}",Varie en nombre
tactique,"{'s', 'p'}",Varie en nombre
tadjik,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
tagué,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
talentueux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
taliban,"{'s', 'p'}",Varie en nombre
talmudique,"{'s', 'p'}",Varie en nombre
tamoul,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
tangent,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
tangible,"{'s', 'p'}",Varie en nombre
tantrique,"{'s', 'p'}",Varie en nombre
tanzanien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
tapageur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
tapant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
tape-à-l'oeil,{''},Ne varie pas en genre et en nombre
taquin,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
tardif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
tarifaire,"{'s', 'p'}",Varie en nombre
tartare,"{'s', 'p'}",Varie en nombre
tatare,"{'s', 'p'}",Varie en nombre
tatillon,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
taurin,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
tauromachique,"{'s', 'p'}",Varie en nombre
tautologique,"{'s', 'p'}",Varie en nombre
taxable,"{'s', 'p'}",Varie en nombre
taxonomique,"{'s', 'p'}",Varie en nombre
taylorien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
taylorisable,"{'s', 'p'}",Varie en nombre
taïwanais,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
tchadien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
tchèque,"{'s', 'p'}",Varie en nombre
tchécoslovaque,"{'s', 'p'}",Varie en nombre
tchétchène,"{'s', 'p'}",Varie en nombre
technique,"{'s', 'p'}",Varie en nombre
techno,{''},Ne varie pas en genre et en nombre
technocratique,"{'s', 'p'}",Varie en nombre
technologique,"{'s', 'p'}",Varie en nombre
technophile,"{'s', 'p'}",Varie en nombre
technétronique,"{'s', 'p'}",Varie en nombre
tectonique,"{'s', 'p'}",Varie en nombre
tel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
tellurique,"{'s', 'p'}",Varie en nombre
temporaire,"{'s', 'p'}",Varie en nombre
temporal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
temporel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
temporisateur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
tempérant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
tempétueux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
tenable,"{'s', 'p'}",Varie en nombre
tenace,"{'s', 'p'}",Varie en nombre
tenant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
tendancieux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
tendineux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
tendre,"{'s', 'p'}",Varie en nombre
tentaculaire,"{'s', 'p'}",Varie en nombre
tentant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
terminal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
terminologique,"{'s', 'p'}",Varie en nombre
ternaire,"{'s', 'p'}",Varie en nombre
terne,"{'s', 'p'}",Varie en nombre
terné,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
terre à terre,{''},Ne varie pas en genre et en nombre
terre-neuvien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
terrestre,"{'s', 'p'}",Varie en nombre
terreux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
terrible,"{'s', 'p'}",Varie en nombre
terrien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
terrifiant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
territorial,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
terroriste,"{'s', 'p'}",Varie en nombre
tertiaire,"{'s', 'p'}",Varie en nombre
testamentaire,"{'s', 'p'}",Varie en nombre
texan,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
textile,"{'s', 'p'}",Varie en nombre
textuel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
thailandais,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
thalamique,"{'s', 'p'}",Varie en nombre
thalassémique,"{'s', 'p'}",Varie en nombre
thatchérien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
thaï,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
thaïlandais,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
thermal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
thermique,"{'s', 'p'}",Varie en nombre
thermogénique,"{'s', 'p'}",Varie en nombre
thermonucléaire,"{'s', 'p'}",Varie en nombre
thermoélectrique,"{'s', 'p'}",Varie en nombre
thoracique,"{'s', 'p'}",Varie en nombre
thyroïdien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
thématique,"{'s', 'p'}",Varie en nombre
théocratique,"{'s', 'p'}",Varie en nombre
théologien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
théologique,"{'s', 'p'}",Varie en nombre
théorique,"{'s', 'p'}",Varie en nombre
thérapeutique,"{'s', 'p'}",Varie en nombre
théâtral,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
tibétain,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
tien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
tiers-mondiste,"{'s', 'p'}",Varie en nombre
tigrigna,"{'s', 'p'}",Varie en nombre
